InputID,TargetID,Distance
Rehab Square,Giza,33341.6195086
Helwan Aqaleem,Helwan,3206.87863117
Helwan Aqaleem,El-Obour,12693.0010549
Helwan Aqaleem,Al Amal,15258.0565204
Helwan Aqaleem,El Basatin,17533.2039447
Helwan Aqaleem,Cairo,17680.6717784
Helwan Aqaleem,Maadi,17878.8218132
Helwan Aqaleem,Athar an Naby,18927.559863
Helwan Aqaleem,Katameya,19337.5570731
Helwan Aqaleem,Badr,19956.2362657
Helwan Aqaleem,El-Mounib,21861.0676485
Helwan Aqaleem,Fom El-Khalig,22969.8894925
Helwan Aqaleem,Nasr,23427.6753612
Helwan Aqaleem,Fateh,23771.4316078
Helwan Aqaleem,Giza,24325.3436886
Helwan Aqaleem,Al-Mostaqbal,25353.1249074
Helwan Aqaleem,Imbaba,29964.185315
Helwan Aqaleem,Tiba,29981.9221339
Helwan Aqaleem,Al Sawah,30935.2764293
Helwan Aqaleem,Al Amiriyyah,31383.977916
Helwan Aqaleem,Port Said,31590.6319767
Helwan Aqaleem,El-Teraa El-,31774.3662412
Helwan Aqaleem,Al Mataria,31843.8303506
Helwan Aqaleem,El Mizalat,31856.6730085
Helwan Aqaleem,Gesr Al Suez,34298.6368519
Moroor (Kattameya),Al Amal,1498.47327584
Moroor (Kattameya),Maadi,2611.37009907
Moroor (Kattameya),Cairo,3244.56819844
Moroor (Kattameya),Katameya,5605.88383529
Moroor (Kattameya),Al-Mostaqbal,10074.6152175
Moroor (Kattameya),El-Obour,11450.4031227
Moroor (Kattameya),Nasr,13025.6588134
Moroor (Kattameya),Fateh,13299.4476434
Moroor (Kattameya),El Basatin,13725.7002048
Moroor (Kattameya),Athar an Naby,17618.1110573
Moroor (Kattameya),Fom El-Khalig,18817.2516402
Moroor (Kattameya),Helwan,19048.3974472
Moroor (Kattameya),Al Sawah,19343.3013737
Moroor (Kattameya),Badr,19921.9015547
Moroor (Kattameya),Al Amiriyyah,20166.3879042
Moroor (Kattameya),Gesr Al Suez,20229.9628523
Moroor (Kattameya),Al Mataria,20259.2225953
Moroor (Kattameya),Port Said,21270.0564037
Moroor (Kattameya),El-Teraa El-,22235.492951
Moroor (Kattameya),El-Mounib,22415.811156
Moroor (Kattameya),El Mizalat,22956.8381968
Moroor (Kattameya),Giza,23695.2004344
Moroor (Kattameya),Tiba,23925.5147781
Moroor (Kattameya),Imbaba,24433.3820317
Isaaf,Fom El-Khalig,4007.4387982
Isaaf,Tiba,4116.65173135
Isaaf,Imbaba,4576.11981696
Isaaf,El Mizalat,6350.78172277
Isaaf,El-Teraa El-,6965.23689959
Isaaf,Fateh,7786.29289166
Isaaf,Nasr,7867.45902919
Isaaf,Port Said,7897.66001743
Isaaf,Athar an Naby,8505.45714859
Isaaf,El Basatin,8735.82212174
Isaaf,Giza,8809.99851245
Isaaf,Al Amiriyyah,9231.01899652
Isaaf,Badr,9378.05178028
Isaaf,Al Sawah,9698.01054453
Isaaf,Al Mataria,10102.6740985
Isaaf,El-Mounib,10104.0729147
Isaaf,El-Obour,13614.7482617
Isaaf,Gesr Al Suez,16718.3284423
Isaaf,Al-Mostaqbal,17293.1766688
Isaaf,Al Amal,18594.7370331
Isaaf,Maadi,21611.6979457
Isaaf,Cairo,22658.1658654
Isaaf,Katameya,24694.4114317
Isaaf,Helwan,28854.4646287
3rd Settlement (New Cairo),Katameya,1055.91656336
3rd Settlement (New Cairo),Cairo,2914.93651869
3rd Settlement (New Cairo),Maadi,3450.76321126
3rd Settlement (New Cairo),Al Amal,7500.04152709
3rd Settlement (New Cairo),Al-Mostaqbal,10380.9280844
3rd Settlement (New Cairo),Nasr,17026.5573645
3rd Settlement (New Cairo),Fateh,17225.4507534
3rd Settlement (New Cairo),El-Obour,17477.616254
3rd Settlement (New Cairo),El Basatin,19445.9398042
3rd Settlement (New Cairo),Gesr Al Suez,20795.7242715
3rd Settlement (New Cairo),Al Sawah,21932.0510617
3rd Settlement (New Cairo),Al Mataria,22768.7916991
3rd Settlement (New Cairo),Al Amiriyyah,22899.5923413
3rd Settlement (New Cairo),Helwan,23257.7678153
3rd Settlement (New Cairo),Athar an Naby,23415.7805456
3rd Settlement (New Cairo),Fom El-Khalig,24129.6475371
3rd Settlement (New Cairo),Port Said,24387.46738
3rd Settlement (New Cairo),El-Teraa El-,25647.3559695
3rd Settlement (New Cairo),Badr,25759.8996631
3rd Settlement (New Cairo),El Mizalat,26591.5902023
3rd Settlement (New Cairo),El-Mounib,28237.1544589
